accession	accession_version	strain	isolate	date	region	country	division	location	length	host	is_lab_host	date_released	date_updated	authors	full_authors	institution	url	genotype	MuV_genotype	taxon_id	MuV_genotype_nextclade_sh	MuV_genotype_nextclade_genome	MuV_genotype_nextclade_genome_new	Match
MT238857	MT238857.1	MuVs/Utrecht.NLD/15.19[G]		2019-XX-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238857	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238858	MT238858.1	MuVs/Utrecht.NLD/20.19[G]		2019-XX-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238858	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238859	MT238859.1	MuVs/Utrecht.NLD/25.19[G]		2019-XX-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238859	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238860	MT238860.1	MuVs/Utrecht.NLD/26.17[G]		2019-XX-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238860	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238861	MT238861.1	MuVs/Utrecht.NLD/29.19/2[G]		2019-XX-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238861	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238862	MT238862.1	MuVs/Utrecht.NLD/35.19[G]		2019-XX-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238862	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238863	MT238863.1	MuVs/Utrecht.NLD/35.19/2[G]		2019-XX-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238863	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238864	MT238864.1	MuVs/Utrecht.NLD/35.19/3[G]		2019-XX-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238864	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238865	MT238865.1	MuVs/Utrecht.NLD/36.19[G]		2019-XX-XX	Europe	Netherlands	Utrecht		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238865	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238866	MT238866.1	MuVs/Veghel.NLD/45.18[G]		2018-XX-XX	Europe	Netherlands	Veghel		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238866	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238867	MT238867.1	MuVs/Zeeland.NLD/37.19/1[G]		2019-XX-XX	Europe	Netherlands	Zeeland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238867	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238868	MT238868.1	MuVs/Zeeland.NLD/37.19/2[G]		2019-XX-XX	Europe	Netherlands	Zeeland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238868	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238869	MT238869.1	MuVs/Zuid-Holland.NLD/20.19[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238869	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238870	MT238870.1	MuVs/Zuid-Holland.NLD/42.19[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238870	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238871	MT238871.1	MuVs/Zuid-Holland.NLD/43.19/1[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238871	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238872	MT238872.1	MuVs/Zuid-Holland.NLD/43.19/2[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238872	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238873	MT238873.1	MuVs/Zuid-Holland.NLD/43.19/3[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238873	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238874	MT238874.1	MuVs/Zuid-Holland.NLD/43.19/4[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238874	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238875	MT238875.1	MuVs/Zuid-Holland.NLD/43.19/5[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238875	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238876	MT238876.1	MuVs/Zuid-Holland.NLD/46.19[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238876	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238877	MT238877.1	MuVs/Zuid-Holland.NLD/47.19[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238877	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238878	MT238878.1	MuVs/Zuid-Holland.NLD/47.19/2[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238878	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238879	MT238879.1	MuVs/Zuid-Holland.NLD/49.19[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238879	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238880	MT238880.1	MuVs/Zuid-Holland.NLD/49.19/2[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238880	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238881	MT238881.1	MuVs/Zuid-Holland.NLD/49.19/3[G]		2019-XX-XX	Europe	Netherlands	South Holland		758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238881	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238882	MT238882.1	MuVs/Zuid-Holland/51.19[G]		2019-XX-XX	Europe	Netherlands			758	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238882	Mumps virus genotype G	G	1384672		G	A	FALSE
MT238912	MT238912.1	MuVs/Middelburg.NLD/33.18[G]		2018-XX-XX	Europe	Netherlands	Middelburg		428	Homo sapiens		2020-04-29	2020-04-29	Bodewes et al.	"Bodewes,R.,van de Nes-Reijnen,L.,Kerkhof,J.,Cremer,J.,van Binnendijk,R.,Veldhuijzen,I."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MT238912	Mumps virus genotype G	G	1384672		unclassified	A	FALSE
MW006745	MW006745.1	MuVs/Drenthe.NLD/11.20[G]		2020-03-XX	Europe	Netherlands	Drenthe		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006745	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006746	MW006746.1	MuVs/Drenthe.NLD/52.19[G]		2019-12-XX	Europe	Netherlands	Drenthe		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006746	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006747	MW006747.1	MuVs/Gelderland.NLD/14.20[G]		2020-04-XX	Europe	Netherlands	Gelderland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006747	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006748	MW006748.1	MuVs/Groningen.NLD/6.20[G]		2020-02-XX	Europe	Netherlands	Groningen		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006748	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006749	MW006749.1	MuVs/Groningen.NLD/7.20[G]		2020-02-XX	Europe	Netherlands	Groningen		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006749	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006750	MW006750.1	MuVs/Groningen.NLD/8.20/1[G]		2020-02-XX	Europe	Netherlands	Groningen		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006750	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006751	MW006751.1	MuVs/Groningen.NLD/8.20/2[G]		2020-02-XX	Europe	Netherlands	Groningen		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006751	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006752	MW006752.1	MuVs/Groningen.NLD/8.20/3[G]		2020-02-XX	Europe	Netherlands	Groningen		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006752	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006753	MW006753.1	MuVs/Limburg.NLD/11.20[G]		2020-03-XX	Europe	Netherlands	Limburg NL		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006753	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006754	MW006754.1	MuVs/Limburg.NLD/8.20[G]		2020-02-XX	Europe	Netherlands	Limburg NL		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006754	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006755	MW006755.1	MuVs/Limburg.NLD/8.20/2[G]		2020-02-XX	Europe	Netherlands	Limburg NL		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006755	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006756	MW006756.1	MuVs/Noord-Brabant.NLD/11.20[G]		2020-03-XX	Europe	Netherlands	North Brabant		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006756	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006757	MW006757.1	MuVs/Noord-Brabant.NLD/52.19[G]		2019-12-XX	Europe	Netherlands	North Brabant		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006757	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006758	MW006758.1	MuVs/Noord-Brabant.NLD/6.20[G]		2020-02-XX	Europe	Netherlands	North Brabant		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006758	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006759	MW006759.1	MuVs/Noord-Brabant.NLD/9.20[G]		2020-02-XX	Europe	Netherlands	North Brabant		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006759	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006760	MW006760.1	MuVs/Noord-Holland.NLD/10.20/1[G]		2020-03-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006760	Mumps virus genotype G	G	1384672		G	A	FALSE
MW006761	MW006761.1	MuVs/Noord-Holland.NLD/10.20/2[G]		2020-03-XX	Europe	Netherlands	North Holland		758	Homo sapiens		2022-02-03	2022-02-03	Shah et al.	"Shah,A.,Bodewes,R.,Reijnen,L.,Boelsums,T.,Weller,C.,Fanoy,E.,Veldhuijzen,I.K."	"National Institute for Public Health and the Environment RIVM, Centre for Infectious Disease Research, Diagnostics and laboratory Surveillance (IDS)"	https://www.ncbi.nlm.nih.gov/nuccore/MW006761	Mumps virus genotype G	G	1384672		G	A	FALSE
